# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	6213
#@/user_id	88a4665f-cb8c-4a39-a4d3-76505fd31b15
a 	啊	c=2 d=0.00311829 t=6213
a li 	阿里	c=1 d=1.58776e-005 t=6213
a li dian ying 	阿里電影	c=1 d=1.43753e-005 t=6213
ai ta mei 	愛他美	c=1 d=1 t=6213
an 	按	c=2 d=0.00459689 t=6213
an 	暗	c=0 d=0.000381048 t=6213
an ci xu 	按次序	c=1 d=1.47442e-009 t=6213
an di yu 	按地域	c=1 d=1.14236e-007 t=6213
an ni de 	按你的	c=1 d=1.64162e-008 t=6213
an niu 	按鈕	c=1 d=1.64984e-008 t=6213
an pai 	暗拍	c=3 d=0.0187934 t=6213
an pai gua le 	暗排掛了	c=1 d=0.00382958 t=6213
an qu dao 	按渠道	c=1 d=1 t=5113
an zhao 	按照	c=7 d=0.000424771 t=6213
an zhuang 	安裝	c=7 d=0.252606 t=6213
an zhuang guo le 	安裝過了	c=2 d=0.0907769 t=6213
an zhuo 	安卓	c=1 d=1 t=5167
ao da li ya 	澳大利亞	c=3 d=0.0133221 t=6213
ba 	八	c=3 d=0.00349397 t=6213
ba 	吧	c=28 d=2.83373 t=6213
ba 	把	c=9 d=0.361728 t=6213
bai du 	百度	c=1 d=0.509162 t=6213
bai du ci ku 	百度詞庫	c=5 d=2.95542 t=6213
bai du yun 	百度雲	c=1 d=1 t=5146
bai ke 	百科	c=0 d=0.1 t=5819
ban 	辦	c=0 d=0.0606531 t=6213
ban ben 	版本	c=4 d=0.151911 t=6213
ban fen zhong 	半分鐘	c=1 d=1 t=5593
ban ge xiao shi 	半個小時	c=2 d=0.0518189 t=6213
bang 	幫	c=0 d=0.0927743 t=6213
bang kan kan 	幫看看	c=3 d=0.615703 t=6213
bang mang 	幫忙	c=1 d=1.34504e-006 t=6213
bang tong ji xia 	幫統計下	c=1 d=1 t=6199
bao 	包	c=1 d=1 t=5926
bao 	報	c=0 d=0.1 t=5860
bao biao 	報表	c=3 d=7.99621e-007 t=6213
bao cun 	保存	c=0 d=1.38116e-006 t=6213
bao cun xia 	保存下	c=1 d=1.38809e-005 t=6213
bao guang 	曝光	c=19 d=0.0048411 t=6213
bao guang jian ce 	曝光監測	c=3 d=5.46818e-007 t=6213
bao guang lian jie 	曝光鏈接	c=2 d=3.56607e-009 t=6213
bao guang shu 	曝光數	c=2 d=0.00199922 t=6213
bao guang yan chi 	曝光延遲	c=1 d=1.29803e-010 t=6213
bao han 	包含	c=0 d=0.0367949 t=6213
bao han le 	包含了	c=1 d=0.08291 t=6213
bao jing 	報警	c=2 d=0.00829802 t=6213
bao kuo 	包括	c=2 d=1.22509e-005 t=6213
bao ming 	包名	c=3 d=2.66694 t=5329
bao ming 	報名	c=1 d=1 t=5278
bao ming zi duan 	包名字段	c=1 d=1 t=5330
bao shen me cuo 	報什麼錯	c=1 d=1 t=5861
bao xiao 	報銷	c=1 d=4.71468e-008 t=6213
bao zheng 	保證	c=0 d=0.071177 t=6213
bei 	被	c=4 d=0.00685872 t=6213
bei fen 	備份	c=3 d=0.00738811 t=6213
bei fen xiao hao 	備份消耗	c=3 d=2.86013 t=4976
